,Team_1,Team_2,Winner,Margin,Ground,Match Date
109,South Africa,New Zealand,no result,-,Potchefstroom,"Oct 20, 2000"
110,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah,"Oct 21, 2000"
111,South Africa,New Zealand,South Africa,6 wickets,Benoni,"Oct 22, 2000"
112,India,Zimbabwe,India,13 runs,Sharjah,"Oct 22, 2000"
113,Pakistan,England,England,5 wickets,Karachi,"Oct 24, 2000"
114,Sri Lanka,Zimbabwe,Sri Lanka,123 runs,Sharjah,"Oct 25, 2000"
115,South Africa,New Zealand,South Africa,115 runs,Centurion,"Oct 25, 2000"
116,India,Zimbabwe,India,3 wickets,Sharjah,"Oct 26, 2000"
117,Pakistan,England,Pakistan,8 wickets,Lahore,"Oct 27, 2000"
118,India,Sri Lanka,Sri Lanka,68 runs,Sharjah,"Oct 27, 2000"
119,South Africa,New Zealand,South Africa,5 wickets,Kimberley,"Oct 28, 2000"
120,India,Sri Lanka,Sri Lanka,245 runs,Sharjah,"Oct 29, 2000"
121,Pakistan,England,Pakistan,6 wickets,Rawalpindi,"Oct 30, 2000"
122,South Africa,New Zealand,South Africa,6 wickets,Durban,"Nov 1, 2000"
123,South Africa,New Zealand,South Africa,3 wickets,Cape Town,"Nov 4, 2000"
124,India,Zimbabwe,India,3 wickets,Cuttack,"Dec 2, 2000"
125,India,Zimbabwe,India,61 runs,Ahmedabad,"Dec 5, 2000"
126,India,Zimbabwe,Zimbabwe,1 wicket,Jodhpur,"Dec 8, 2000"
127,India,Zimbabwe,India,9 wickets,Kanpur,"Dec 11, 2000"
128,India,Zimbabwe,India,39 runs,Rajkot,"Dec 14, 2000"
129,South Africa,Sri Lanka,South Africa,4 wickets,Gqeberha,"Dec 15, 2000"
130,South Africa,Sri Lanka,South Africa,95 runs,East London,"Dec 17, 2000"
131,New Zealand,Zimbabwe,Zimbabwe,70 runs,Taupo,"Jan 2, 2001"
132,New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,"Jan 4, 2001"
133,New Zealand,Zimbabwe,Zimbabwe,1 wicket,Auckland,"Jan 7, 2001"
134,South Africa,Sri Lanka,South Africa,8 wickets,Paarl,"Jan 9, 2001"
135,Australia,West Indies,Australia,74 runs,Melbourne,"Jan 11, 2001"
136,South Africa,Sri Lanka,South Africa,99 runs,Cape Town,"Jan 11, 2001"
137,West Indies,Zimbabwe,West Indies,1 wicket,Brisbane,"Jan 13, 2001"
138,Australia,West Indies,Australia,9 wickets,Brisbane,"Jan 14, 2001"
139,South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,"Jan 14, 2001"
140,Australia,West Indies,Australia,28 runs,Sydney,"Jan 17, 2001"
141,South Africa,Sri Lanka,Sri Lanka,4 runs,Johannesburg,"Jan 17, 2001"
142,Australia,Zimbabwe,Australia,8 wickets,Melbourne,"Jan 21, 2001"
143,West Indies,Zimbabwe,Zimbabwe,47 runs,Sydney,"Jan 23, 2001"
144,West Indies,Zimbabwe,West Indies,77 runs,Adelaide,"Jan 25, 2001"
145,Australia,West Indies,Australia,10 wickets,Adelaide,"Jan 26, 2001"
146,Australia,Zimbabwe,Australia,86 runs,Sydney,"Jan 28, 2001"
147,Australia,Zimbabwe,Australia,6 wickets,Hobart,"Jan 30, 2001"
148,New Zealand,Sri Lanka,Sri Lanka,61 runs,Napier,"Jan 31, 2001"
149,West Indies,Zimbabwe,West Indies,44 runs,Perth,"Feb 2, 2001"
150,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Wellington,"Feb 3, 2001"
151,Australia,Zimbabwe,Australia,1 run,Perth,"Feb 4, 2001"
152,New Zealand,Sri Lanka,Sri Lanka,9 wickets,Auckland,"Feb 6, 2001"
153,Australia,West Indies,Australia,134 runs,Sydney,"Feb 7, 2001"
154,New Zealand,Sri Lanka,Sri Lanka,3 runs,Hamilton,"Feb 8, 2001"
155,Australia,West Indies,Australia,39 runs,Melbourne,"Feb 9, 2001"
156,New Zealand,Sri Lanka,New Zealand,13 runs,Christchurch,"Feb 11, 2001"
157,New Zealand,Pakistan,Pakistan,6 wickets,Auckland,"Feb 17-18, 2001"
158,New Zealand,Pakistan,New Zealand,6 wickets,Napier,"Feb 20, 2001"
159,New Zealand,Pakistan,Pakistan,28 runs,Wellington,"Feb 22, 2001"
160,New Zealand,Pakistan,New Zealand,138 runs,Christchurch,"Feb 25, 2001"
161,New Zealand,Pakistan,New Zealand,4 wickets,Dunedin,"Feb 28, 2001"
162,Sri Lanka,England,Sri Lanka,5 wickets,Dambulla,"Mar 23, 2001"
163,Sri Lanka,England,Sri Lanka,66 runs,Colombo (RPS),"Mar 25, 2001"
164,India,Australia,India,60 runs,Bengaluru,"Mar 25, 2001"
165,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (SSC),"Mar 27, 2001"
166,India,Australia,Australia,8 wickets,Pune,"Mar 28, 2001"
167,India,Australia,India,118 runs,Indore,"Mar 31, 2001"
168,India,Australia,Australia,93 runs,Visakhapatnam,"Apr 3, 2001"
169,India,Australia,Australia,4 wickets,Margao,"Apr 6, 2001"
170,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Apr 7, 2001"
171,Zimbabwe,Bangladesh,Zimbabwe,127 runs,Harare,"Apr 8, 2001"
172,Pakistan,Sri Lanka,Pakistan,16 runs,Sharjah,"Apr 8, 2001"
173,New Zealand,Sri Lanka,Sri Lanka,106 runs,Sharjah,"Apr 10, 2001"
174,Zimbabwe,Bangladesh,Zimbabwe,36 runs,Bulawayo,"Apr 11, 2001"
175,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 12, 2001"
176,Pakistan,Sri Lanka,Pakistan,28 runs,Sharjah,"Apr 13, 2001"
177,New Zealand,Pakistan,Pakistan,7 wickets,Sharjah,"Apr 15, 2001"
178,New Zealand,Sri Lanka,New Zealand,79 runs,Sharjah,"Apr 17, 2001"
179,Pakistan,Sri Lanka,Sri Lanka,77 runs,Sharjah,"Apr 20, 2001"
180,West Indies,South Africa,West Indies,3 wickets,Kingston,"Apr 28, 2001"
181,West Indies,South Africa,South Africa,8 wickets,St John's,"May 2, 2001"
182,West Indies,South Africa,South Africa,132 runs,St George's,"May 5, 2001"
183,West Indies,South Africa,South Africa,8 wickets,St George's,"May 6, 2001"
184,West Indies,South Africa,South Africa,7 wickets,Bridgetown,"May 9, 2001"
185,West Indies,South Africa,South Africa,53 runs,Port of Spain,"May 12, 2001"
186,West Indies,South Africa,West Indies,6 wickets,Kingstown,"May 16, 2001"
187,England,Pakistan,Pakistan,108 runs,Birmingham,"Jun 7, 2001"
188,Australia,Pakistan,Australia,7 wickets,Cardiff,"Jun 9, 2001"
189,England,Australia,Australia,5 wickets,Bristol,"Jun 10, 2001"
190,England,Pakistan,Pakistan,2 runs,Lord's,"Jun 12, 2001"
191,England,Australia,Australia,125 runs,Manchester,"Jun 14, 2001"
192,England,Pakistan,Pakistan,-,Leeds,"Jun 17, 2001"
193,Australia,Pakistan,Pakistan,36 runs,Nottingham,"Jun 19, 2001"
194,England,Australia,Australia,8 wickets,The Oval,"Jun 21, 2001"
195,Zimbabwe,West Indies,West Indies,27 runs,Harare,"Jun 23, 2001"
196,Australia,Pakistan,Australia,9 wickets,Lord's,"Jun 23, 2001"
197,Zimbabwe,India,India,9 wickets,Harare,"Jun 24, 2001"
198,Zimbabwe,India,India,4 wickets,Bulawayo,"Jun 27, 2001"
199,India,West Indies,India,6 wickets,Bulawayo,"Jun 30, 2001"
200,Zimbabwe,West Indies,West Indies,5 wickets,Bulawayo,"Jul 1, 2001"
201,India,West Indies,India,6 wickets,Harare,"Jul 4, 2001"
202,India,West Indies,West Indies,16 runs,Harare,"Jul 7, 2001"
203,Sri Lanka,New Zealand,Sri Lanka,16 runs,Colombo (RPS),"Jul 18, 2001"
204,India,New Zealand,New Zealand,84 runs,Colombo (RPS),"Jul 20, 2001"
205,Sri Lanka,India,Sri Lanka,6 runs,Colombo (RPS),"Jul 22, 2001"
206,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS),"Jul 25, 2001"
207,India,New Zealand,New Zealand,67 runs,Colombo (RPS),"Jul 26, 2001"
208,Sri Lanka,India,India,7 wickets,Colombo (RPS),"Jul 28, 2001"
209,Sri Lanka,New Zealand,Sri Lanka,106 runs,Colombo (SSC),"Jul 31, 2001"
210,Sri Lanka,India,India,46 runs,Colombo (SSC),"Aug 1, 2001"
211,India,New Zealand,India,7 wickets,Colombo (SSC),"Aug 2, 2001"
212,Sri Lanka,India,Sri Lanka,121 runs,Colombo (RPS),"Aug 5, 2001"
213,Kenya,West Indies,West Indies,106 runs,Nairobi,"Aug 15, 2001"
214,Kenya,West Indies,West Indies,6 wickets,Nairobi (Gym),"Aug 18, 2001"
215,Kenya,West Indies,West Indies,7 wickets,Nairobi (Gym),"Aug 19, 2001"
216,Zimbabwe,South Africa,South Africa,153 runs,Bulawayo,"Sep 23, 2001"
217,Zimbabwe,South Africa,South Africa,148 runs,Harare,"Sep 29, 2001"
218,Zimbabwe,South Africa,South Africa,6 wickets,Harare,"Sep 30, 2001"
219,Zimbabwe,England,England,5 wickets,Harare,"Oct 3, 2001"
220,South Africa,India,South Africa,6 wickets,Johannesburg,"Oct 5, 2001"
221,Zimbabwe,England,England,8 wickets,Harare,"Oct 6, 2001"
222,Zimbabwe,England,England,4 wickets,Harare,"Oct 7, 2001"
223,South Africa,Kenya,South Africa,7 wickets,Benoni,"Oct 7, 2001"
224,Zimbabwe,England,England,70 runs,Bulawayo,"Oct 10, 2001"
225,South Africa,India,India,41 runs,Centurion,"Oct 10, 2001"
226,India,Kenya,India,10 wickets,Bloemfontein,"Oct 12, 2001"
227,Zimbabwe,England,England,7 wickets,Bulawayo,"Oct 13, 2001"
228,South Africa,Kenya,South Africa,9 wickets,Kimberley,"Oct 14, 2001"
229,India,Kenya,Kenya,70 runs,Gqeberha,"Oct 17, 2001"
230,South Africa,India,South Africa,46 runs,East London,"Oct 19, 2001"
231,South Africa,Kenya,South Africa,208 runs,Cape Town,"Oct 22, 2001"
232,India,Kenya,India,186 runs,Paarl,"Oct 24, 2001"
233,Sri Lanka,Zimbabwe,Sri Lanka,63 runs,Sharjah,"Oct 26, 2001"
234,South Africa,India,South Africa,6 wickets,Durban,"Oct 26, 2001"
235,Pakistan,Sri Lanka,Sri Lanka,7 wickets,Sharjah,"Oct 27, 2001"
236,Pakistan,Zimbabwe,Pakistan,106 runs,Sharjah,"Oct 28, 2001"
237,Sri Lanka,Zimbabwe,Sri Lanka,79 runs,Sharjah,"Oct 30, 2001"
238,Pakistan,Zimbabwe,Pakistan,29 runs,Sharjah,"Oct 31, 2001"
239,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,"Nov 2, 2001"
240,Pakistan,Sri Lanka,Pakistan,5 wickets,Sharjah,"Nov 4, 2001"
241,Bangladesh,Zimbabwe,Zimbabwe,5 wickets,Chattogram,"Nov 23, 2001"
242,Bangladesh,Zimbabwe,Zimbabwe,42 runs,Dhaka,"Nov 25, 2001"
243,Bangladesh,Zimbabwe,Zimbabwe,7 wickets,Dhaka,"Nov 26, 2001"
244,Sri Lanka,Zimbabwe,Sri Lanka,9 wickets,Colombo (SSC),"Dec 8, 2001"
245,West Indies,Zimbabwe,Zimbabwe,4 wickets,Colombo (SSC),"Dec 9, 2001"
246,Sri Lanka,West Indies,West Indies,49 runs,Colombo (RPS),"Dec 11, 2001"
